Boring,RDX,RDY,Opmerking
B14B0449,111060,544740,Dino
B14B0451,111560,544690,Dino
B14B0454,112155,544920,Dino
B14B0494,111700,545190,Dino
MF001PF01,111327.31,544833.07,Wiertsema peilbuis
MF002PF01,111330.04,544832.83,Wiertsema peilbuis
MF003,111631.97,544751.97,Wiertsema peilbuis
MF004,111632,544754.98,Wiertsema peilbuis
MF006,111536.3,545140.37,Wiertsema peilbuis
KRW-1,111243.632,544595.772,Nectaerra peilbuis
KRW-2,111385.743,545097.07,Nectaerra peilbuis
KRW-3,111328.604,544832.928,Nectaerra peilbuis
PB2.01-1-1,111317.7,544960.2,Wareco peilbuis
PB2.02-1-1,111494.8,545001.5,Wareco peilbuis
PB2.03-1-1,111680.5,545066.1,Wareco peilbuis
PB2.04-1-1,111486.9,544738.2,Wareco peilbuis
PB2.05-1-1,111631.2,544597.2,Wareco peilbuis
PB2.06-1-1,111369,544618.7,Wareco peilbuis
PB2.07-1-1,111454.7,544736.5,Wareco peilbuis
